  @queenbee	NIL647
Mk dons	http://dbpedia.org/resource/Milton_Keynes_Dons_F.C.
Mkwcx	NIL4
Modern Microprocessors	NIL300
ModestMakenna	NIL184
Mofins	NIL585
Mohawk_Street	NIL185
Monmouth	http://dbpedia.org/resource/Monmouth
Monsanto	http://dbpedia.org/resource/Monsanto
Montana	http://dbpedia.org/resource/Montana
Monty	http://dbpedia.org/resource/Monty_Hall
Monza	http://dbpedia.org/resource/Autodromo_Nazionale_Monza
Moon	http://dbpedia.org/resource/Moon
MoonDogs	http://dbpedia.org/resource/Mankato_MoonDogs
Morgan	http://dbpedia.org/resource/Piers_Morgan
Moroccan	http://dbpedia.org/resource/Moroccan_people
Morocco	http://dbpedia.org/resource/Morocco
Morsi	http://dbpedia.org/resource/Mohamed_Morsi
Mossad	http://dbpedia.org/resource/Mossad
Mosul	http://dbpedia.org/resource/Mosul
MotM	http://dbpedia.org/resource/MOTM
Mother Monster	http://dbpedia.org/resource/Lady_Gaga
Motherwell	http://dbpedia.org/resource/Motherwell_F.C.
MotoGP	http://dbpedia.org/resource/Grand_Prix_motorcycle_racing
Motorsport	http://dbpedia.org/resource/Motorsport
Mourinho	http://dbpedia.org/resource/José_Mourinho
Movember	http://dbpedia.org/resource/Movember
MovemberUK	NIL11
MovemberUK	NIL955
MrDuncanJames	http://dbpedia.org/resource/Duncan_James
MrMH11	NIL593
MrMallyMals	NIL592
Mr_Carey_5	NIL588
Mr_Mike_Clarke	NIL203
Mr_popular	NIL187
Mrs Henderson	NIL204
Mrs. Murdoch	http://dbpedia.org/resource/Wendi_Deng_Murdoch
Mrs. Queen	NIL188
MrsChanelAndre	NIL189
MrsHelenG	NIL379
MrsSaintsman	NIL206
Mrs_excommuter	NIL205
MsEllenEJones	NIL595
Mubarak	http://dbpedia.org/resource/Hosni_Mubarak
MudgeeBrewingCo	NIL956
Mueller	http://dbpedia.org/resource/Brooke_Mueller
Mukilteo	http://dbpedia.org/resource/Mukilteo,_Washington
Mumbai	http://dbpedia.org/resource/Mumbai
Munas Golkar	NIL207
Munter	http://dbpedia.org/resource/Cameron_Munter
MuppetGooner	NIL596
Mur-Len Rd	NIL52
Murcia	http://dbpedia.org/resource/Murcia
Murdoch	NIL191
Murdoch	http://dbpedia.org/resource/Rupert_Murdoch
Murdochs	http://dbpedia.org/resource/Rupert_Murdoch
Murky World Cup	NIL12
MusclePowerMK	NIL29
Museum of American People	http://dbpedia.org/resource/National_Museum_of_the_American_People
MusicOverPeople	NIL957
Muslim	http://dbpedia.org/resource/Muslim
Muslims	http://dbpedia.org/resource/Muslim
Muzaffarnagar	http://dbpedia.org/resource/Muzaffarnagar_district
Muzzaffarngar	http://dbpedia.org/resource/Muzaffarnagar
My own worst enemy	http://dbpedia.org/resource/My_Own_Worst_Enemy_(song)
MySpace	http://dbpedia.org/resource/Myspace
MySportsLegion	NIL959
N.Korea	http://dbpedia.org/resource/North_Korea
N.O.W	http://dbpedia.org/resource/News_of_the_World
N0rMaJeaN	NIL192
N9	http://dbpedia.org/resource/Nokia_N9
NAACP	http://dbpedia.org/resource/National_Association_for_the_Advancement_of_Colored_People
NASA	http://dbpedia.org/resource/NASA
NASAJuno	http://dbpedia.org/resource/Juno_(spacecraft)
NASA_EO	http://dbpedia.org/resource/NASA_Earth_Observatory
NASCAR	http://dbpedia.org/resource/NASCAR
NATIONAL WEATHER SERVICE	http://dbpedia.org/resource/National_Weather_Service
NATO	http://dbpedia.org/resource/NATO
NBA	http://dbpedia.org/resource/National_Basketball_Association
NBC	http://dbpedia.org/resource/NBC
NBC Miami	http://dbpedia.org/resource/WTVJ
NBC News	http://dbpedia.org/resource/NBC_News
NBCConnecticut	http://dbpedia.org/resource/WVIT
NBCDFW	http://dbpedia.org/resource/KXAS-TV
NBCNews	http://dbpedia.org/resource/NBC_News
NBluesFC	NIL93
NC	http://dbpedia.org/resource/North_Carolina
NC5_DaveNichols	NIL602
NCAA	http://dbpedia.org/resource/National_Collegiate_Athletic_Association
NDP	http://dbpedia.org/resource/New_Democratic_Party_(Canada)
NES	http://dbpedia.org/resource/Nintendo_Entertainment_System
NEW DELHI	http://dbpedia.org/resource/New_Delhi
NEW YORK	http://dbpedia.org/resource/New_York
NFFC	http://dbpedia.org/resource/Nottingham_Forest_F.C.
NFL	http://dbpedia.org/resource/National_Football_League
NFL Network	http://dbpedia.org/resource/NFL_Network
NFLN	http://dbpedia.org/resource/NFL_Network
NFLPA	http://dbpedia.org/resource/National_Football_League_Players_Association
NFPA	http://dbpedia.org/resource/National_Football_League_Players_Association
NFUCountryside	NIL967
NHC	http://dbpedia.org/resource/National_Hurricane_Center
NHL	http://dbpedia.org/resource/National_Hockey_League
NHLJets	http://dbpedia.org/resource/Winnipeg_Jets
NHS	http://dbpedia.org/resource/National_Health_Service
NHSChoices	http://dbpedia.org/resource/National_Health_Service
NI	http://dbpedia.org/resource/News_UK
NICE	http://dbpedia.org/resource/National_Institute_for_Health_and_Care_Excellence
NIGERIA	http://dbpedia.org/resource/Nigeria
NM	http://dbpedia.org/resource/New_Mexico
NOAA	http://dbpedia.org/resource/National_Oceanic_and_Atmospheric_Administration
NOLA.com	NIL301
NOPD	http://dbpedia.org/resource/New_Orleans_Police_Department
NOTSportsCenter	NIL971
NOTW	http://dbpedia.org/resource/News_of_the_World
NRK	http://dbpedia.org/resource/NRK
NSA	http://dbpedia.org/resource/National_Security_Agency
NUFC	http://dbpedia.org/resource/Newcastle_United_F.C.
NWOBHM	http://dbpedia.org/resource/New_Wave_of_British_Heavy_Metal
NY	http://dbpedia.org/resource/New_York
NY	http://dbpedia.org/resource/New_York_City
NY Archdiocese	http://dbpedia.org/resource/Roman_Catholic_Archdiocese_of_New_York
NY gov	http://dbpedia.org/resource/Government_of_New_York
NYC	http://dbpedia.org/resource/New_York_City
NYC police	http://dbpedia.org/resource/New_York_City_Police_Department
NYSC	http://dbpedia.org/resource/National_Youth_Service_Corps
NYT	http://dbpedia.org/resource/The_New_York_Times
Nadia	NIL598
Nafousa mountain	http://dbpedia.org/resource/Nafusa_Mountains
Nagasaki	http://dbpedia.org/resource/Nagasaki
Nah	NIL208
NaijaTunez	NIL91
Nairobi	http://dbpedia.org/resource/Nairobi
Nakamoto	http://dbpedia.org/resource/Nakamoto
Namibia	http://dbpedia.org/resource/Namibia_Under-19_cricket_team
Nandos	http://dbpedia.org/resource/Nando's
Nani	http://dbpedia.org/resource/Nani
Naples	http://dbpedia.org/resource/Naples,_Florida
Napoleon Hill	http://dbpedia.org/resource/Napoleon_Hill
Nas Campanella	NIL599
Nasarawa State	http://dbpedia.org/resource/Nasarawa_State
Nasdaq	http://dbpedia.org/resource/NASDAQ
Nashville	http://dbpedia.org/resource/Nashville,_Tennessee
Nasr	http://dbpedia.org/resource/Felipe_Nasr
NatalieGrieve	NIL600
NataliieeeH	NIL209
Nate Burleson	http://dbpedia.org/resource/Nate_Burleson
Nate Davis	http://dbpedia.org/resource/Nate_Davis_(American_football)
Nate Irving	http://dbpedia.org/resource/Nate_Irving
NateTheGreat	http://dbpedia.org/resource/Nate_Schierholtz
Nathan_Schwartz	NIL601
National Express	http://dbpedia.org/resource/National_Express_Group
National Nurses United	http://dbpedia.org/resource/National_Nurses_United
National Youth Service Corps	http://dbpedia.org/resource/National_Youth_Service_Corps
Nats	http://dbpedia.org/resource/Washington_Nationals
Natural History Museum at Tring	http://dbpedia.org/resource/Natural_History_Museum_at_Tring
Nauty_Ephy	NIL193
Naval Sea Systems Command	http://dbpedia.org/resource/Naval_Sea_Systems_Command
Navy	http://dbpedia.org/resource/United_States_Navy
Navy Seal	http://dbpedia.org/resource/United_States_Navy_SEALs
Navy Yard	http://dbpedia.org/resource/Washington_Navy_Yard
Navy Yard shooting	http://dbpedia.org/resource/Washington_Navy_Yard_shooting
NavySEALs	http://dbpedia.org/resource/United_States_Navy_SEALs
NavyYardShooting	http://dbpedia.org/resource/Washington_Navy_Yard_shooting
Nawaz Sharif	http://dbpedia.org/resource/Nawaz_Sharif
NazBalochPTI	http://dbpedia.org/resource/Naz_Baloch
Nazis	http://dbpedia.org/resource/Nazism
Neil Armstrong	http://dbpedia.org/resource/Neil_Armstrong
Neil Kinnock	http://dbpedia.org/resource/Neil_Kinnock
Nelson Mandela	http://dbpedia.org/resource/Nelson_Mandela
Nelza82	NIL603
Netflix	http://dbpedia.org/resource/Netflix
Netherlands	http://dbpedia.org/resource/Netherlands
Nets	http://dbpedia.org/resource/Brooklyn_Nets
Network Rail	http://dbpedia.org/resource/Network_Rail
Network Rail The Quadrant:MK	http://dbpedia.org/resource/Quadrant:MK
Nevada	http://dbpedia.org/resource/Nevada
Never Tear Us Apart	http://dbpedia.org/resource/Never_Tear_Us_Apart
New Jerse	http://dbpedia.org/resource/New_Jersey
New Moon	http://dbpedia.org/resource/The_Twilight_Saga:_New_Moon
New Orleans	http://dbpedia.org/resource/New_Orleans
New Orleans press club awards	NIL14
New York	http://dbpedia.org/resource/New_York
New York	http://dbpedia.org/resource/New_York_City
New York City	http://dbpedia.org/resource/New_York_City
New York Giants	http://dbpedia.org/resource/New_York_Giants
New York Gov	http://dbpedia.org/resource/Governor_of_New_York
New York Red Bulls	http://dbpedia.org/resource/New_York_Red_Bulls
New York Times	http://dbpedia.org/resource/The_New_York_Times
New York police	http://dbpedia.org/resource/New_York_City_Police_Department
New Zealand	http://dbpedia.org/resource/New_Zealand
Newcastle	http://dbpedia.org/resource/Newcastle_United_F.C.
Newcastle	http://dbpedia.org/resource/Newcastle_upon_Tyne
Newport	http://dbpedia.org/resource/Newport
Newport Pagnell	http://dbpedia.org/resource/Newport_Pagnell
Newport high street	http://dbpedia.org/resource/Newport_railway_station
Newry	http://dbpedia.org/resource/Newry
News Corp	http://dbpedia.org/resource/News_Corporation
News Corporation	http://dbpedia.org/resource/News_Corporation
News International	http://dbpedia.org/resource/News_UK
News1130	http://dbpedia.org/resource/CKWX
NewsBreaker	NIL965
NewsCorp	http://dbpedia.org/resource/News_Corporation
NewsInt	http://dbpedia.org/resource/News_UK
Newscorps	http://dbpedia.org/resource/News_Corporation
Newsnight	http://dbpedia.org/resource/Newsnight
Newzbin	http://dbpedia.org/resource/Newzbin
Nick Andersen	http://dbpedia.org/resource/Nick_Anderson
Nick Boles	http://dbpedia.org/resource/Nicholas_Boles
Nickers_84	NIL604
Nicki Minaj	http://dbpedia.org/resource/Nicki_Minaj
Nicklas Bendtner	http://dbpedia.org/resource/Nicklas_Bendtner
Nico	NIL605
Nico	http://dbpedia.org/resource/Nico_Rosberg
Nicola	NIL606
Nicole	NIL607
Nifty	http://dbpedia.org/resource/S&P_CNX_Nifty
Nigel_May	NIL212
Nigeria	http://dbpedia.org/resource/Nigeria
NigeriaNewsdesk	NIL968
Nigerian	http://dbpedia.org/resource/Nigerians
Nigerian Army	http://dbpedia.org/resource/Nigerian_Army
Nigga	http://dbpedia.org/resource/Nigga
Niggas	http://dbpedia.org/resource/Nigga
Nikkiharris86	http://dbpedia.org/resource/Nikki_Harris
Nikos Michaloli	NIL610
Ninja	http://dbpedia.org/resource/Ninja
NoTrophyHunting	NIL970
NoW	http://dbpedia.org/resource/News_of_the_World
Noah	http://dbpedia.org/resource/Noah
Nokia	http://dbpedia.org/resource/Nokia
Nordic	http://dbpedia.org/resource/Nordic_race
Nordic walking	http://dbpedia.org/resource/Nordic_walking
Norfolk House	http://dbpedia.org/resource/Norfolk_House
Norman Tebbit	http://dbpedia.org/resource/Norman_Tebbit
North America	http://dbpedia.org/resource/North_America
North Carolina	http://dbpedia.org/resource/North_Carolina
North Las Vegas	http://dbpedia.org/resource/North_Las_Vegas,_Nevada
North Wazirirstan	http://dbpedia.org/resource/North_Waziristan
Northampton	http://dbpedia.org/resource/Northampton
NorthamptonBID	NIL95
Northants	http://dbpedia.org/resource/Northamptonshire
Northern Ireland	http://dbpedia.org/resource/Northern_Ireland
Northern Irish peoples	http://dbpedia.org/resource/People_of_Northern_Ireland
Northfield	http://dbpedia.org/resource/Northfield,_Birmingham
Northumberland Street	http://dbpedia.org/resource/Northumberland_Street
Northumbria Police	http://dbpedia.org/resource/Northumbria_Police
NorvicStrangers	NIL969
Norway	http://dbpedia.org/resource/Norway
Norway attacks	http://dbpedia.org/resource/2011_Norway_attacks
Norway police	http://dbpedia.org/resource/Norwegian_Police_Service
Norwegian	http://dbpedia.org/resource/Norwegians
Norwegian Government	http://dbpedia.org/resource/Politics_of_Norway
Norwegian police	http://dbpedia.org/resource/Norwegian_Police_Service
Norwegians	http://dbpedia.org/resource/Norwegians
Nottingham	http://dbpedia.org/resource/Nottingham
Nottingham Forest	http://dbpedia.org/resource/Nottingham_Forest_F.C.
Novartis	http://dbpedia.org/resource/Novartis
Noynoy Aquino	http://dbpedia.org/resource/Benigno_Aquino_III
Number10gov	http://dbpedia.org/resource/David_Cameron
Nutella	http://dbpedia.org/resource/Nutella
O'Reilly	NIL196
O2	http://dbpedia.org/resource/O2
OBAMA HEALTH CARE LAW	http://dbpedia.org/resource/Health_care_reforms_proposed_during_the_Obama_administration
OBU	http://dbpedia.org/resource/Ouachita_Baptist_University
OC	NIL615
OC Transpo	http://dbpedia.org/resource/OC_Transpo
OCCUPYWALLSTREET	http://dbpedia.org/resource/Occupy_Wall_Street
OCTranspo	http://dbpedia.org/resource/OC_Transpo
ODD	http://dbpedia.org/resource/Optical_disc_drive
OH	http://dbpedia.org/resource/Ohio
OIL TANKER	http://dbpedia.org/resource/Oil_tanker
OMProTeam	NIL48
OREGON	http://dbpedia.org/resource/Oregon
ORLANDO, Florida	http://dbpedia.org/resource/Orlando,_Florida
OS X Lion	http://dbpedia.org/resource/Mac_OS_X_Lion
OSLO	http://dbpedia.org/resource/Oslo
OU	http://dbpedia.org/resource/University_of_Oklahoma
OUstudents	NIL96
OUstudents	http://dbpedia.org/resource/Open_University_Students_Association
OWN network	http://dbpedia.org/resource/Oprah_Winfrey_Network_(U.S._TV_channel)
Oakgrove School	http://dbpedia.org/resource/Oakgrove_School
Obama	http://dbpedia.org/resource/Barack_Obama
Obamacare	http://dbpedia.org/resource/Patient_Protection_and_Affordable_Care_Act
Obedbapela	NIL614
Obesity	http://dbpedia.org/resource/Obesity
OborneTweets	http://dbpedia.org/resource/Peter_Oborne
OfficerWilson	NIL616
OfficialChip	http://dbpedia.org/resource/Chip_(rapper)
OfficialMarkO	http://dbpedia.org/resource/Mark_Owen
OfficialRandL	http://dbpedia.org/resource/Reading_and_Leeds_Festivals
OfficialZam	NIL197
OfficiallySlitz	NIL973
Ohi nuclear plant	http://dbpedia.org/resource/Ōi_Nuclear_Power_Plant
Ohi plant	http://dbpedia.org/resource/Ōi_Nuclear_Power_Plant
Ohio	http://dbpedia.org/resource/Ohio
OkGist	NIL974
Olaf	NIL293
Olaf	http://dbpedia.org/resource/Olaf_(Disney)
Olcott	http://dbpedia.org/resource/Sidney_Olcott
OldBradwellUtd	http://dbpedia.org/resource/Old_Bradwell_United_F.C.
Oldbrook	http://dbpedia.org/resource/Campbell_Park
OliviaGauch	NIL617
OliviaRoweX	NIL214
Ollie	NIL619
Omar	NIL620
Omar death	http://dbpedia.org/resource/Death_of_Osama_bin_Laden
Omarrr_AFC	NIL621
OmfgItsbutters	NIL975
OmnomOmnific	NIL622
OnMyMind	http://dbpedia.org/resource/On_My_Mind_(song)
One Direction	http://dbpedia.org/resource/One_Direction
Ontario	http://dbpedia.org/resource/Ontario
Oompa Loompas	NIL1
OpPaypal	http://dbpedia.org/resource/PayPal
Open	http://dbpedia.org/resource/The_Open_Championship
OpenChampion	http://dbpedia.org/resource/2011_Open_Championship
OpenUniversity	http://dbpedia.org/resource/Open_University
Operation Mororman	http://dbpedia.org/resource/Operation_Motorman
Oprah	http://dbpedia.org/resource/Oprah_Winfrey
Oprah_World	http://dbpedia.org/resource/Oprah_Winfrey
Optical disc	http://dbpedia.org/resource/Optical_disc
Oracle	http://dbpedia.org/resource/Oracle_Corporation
Orangeiceman10	NIL216
Orangeiceman10	NIL624
Oregon	http://dbpedia.org/resource/Oregon
Organization for the Prohibition of Chemical Weapons	http://dbpedia.org/resource/Organisation_for_the_Prohibition_of_Chemical_Weapons
OrigSmokeShack	NIL976
Orlando	http://dbpedia.org/resource/Orlando,_Florida
Orlov	http://dbpedia.org/resource/Orlov
Orwell Prize	http://dbpedia.org/resource/Orwell_Prize
Osama Bin Laden	http://dbpedia.org/resource/Osama_bin_Laden
Osborne	http://dbpedia.org/resource/George_Osborne
Oslo	http://dbpedia.org/resource/Oslo
Oslo bomb	http://dbpedia.org/resource/2011_Norway_attacks
Oslo explosion	http://dbpedia.org/resource/2011_Norway_attacks
Ottawa	http://dbpedia.org/resource/Ottawa
Ottawa Bluesfest	http://dbpedia.org/resource/Ottawa_Bluesfest
OttawaPolice	http://dbpedia.org/resource/Ottawa_Police_Service
Ouachita Baptist University	http://dbpedia.org/resource/Ouachita_Baptist_University
Outkast	http://dbpedia.org/resource/Outkast
Owen	http://dbpedia.org/resource/Owen_(musician)
Owen Hargreaves	http://dbpedia.org/resource/Owen_Hargreaves
Owen Hart	http://dbpedia.org/resource/Owen_Hart
Oxfam	http://dbpedia.org/resource/Oxfam
Oxford	http://dbpedia.org/resource/University_of_Oxford
Oxlade-Chamberlain	http://dbpedia.org/resource/Alex_Oxlade-Chamberlain
P V Naik	http://dbpedia.org/resource/Pradeep_Vasant_Naik
P90X	http://dbpedia.org/resource/P90X
P90X2	http://dbpedia.org/resource/P90X
PA	http://dbpedia.org/resource/Pakistan
PAL Express	http://dbpedia.org/resource/PAL_Express
PARIS	http://dbpedia.org/resource/Paris
PBS	http://dbpedia.org/resource/PBS
PDF	http://dbpedia.org/resource/Portable_Document_Format
PEPalerts	NIL978
PES15	http://dbpedia.org/resource/Pro_Evolution_Soccer_2015
PETA	http://dbpedia.org/resource/People_for_the_Ethical_Treatment_of_Animals
PGA Championship	http://dbpedia.org/resource/PGA_Championship
PGATour	NIL304
PHILIPPINES	http://dbpedia.org/resource/Philippines_national_football_team
PK405	NIL208
PL	http://dbpedia.org/resource/Premier_League
PM	http://dbpedia.org/resource/Prime_Minister_of_the_United_Kingdom
PM	http://dbpedia.org/resource/Prime_minister
PM Raila Odinga	http://dbpedia.org/resource/Raila_Odinga
PNJ	http://dbpedia.org/resource/Pensacola_News_Journal
POLICE	http://dbpedia.org/resource/Norwegian_Police_Service
POTUS	http://dbpedia.org/resource/President_of_the_United_States
PPP	http://dbpedia.org/resource/Pakistan_Peoples_Party
PRNewswire	NIL306
PS3	http://dbpedia.org/resource/PlayStation_3
PS4	http://dbpedia.org/resource/PlayStation_4
PSG	http://dbpedia.org/resource/Paris_Saint-Germain_F.C.
Packers	http://dbpedia.org/resource/Green_Bay_Packers
Paige	NIL199
Paige	NIL200
Paige	http://dbpedia.org/resource/Paige_(band)
Paige Conway	NIL199
Pak-Afghan border	http://dbpedia.org/resource/Durand_Line
Pakistan	http://dbpedia.org/resource/Pakistan
Pakistan flood	http://dbpedia.org/resource/2010_Pakistan_floods
Pakistan gov't	http://dbpedia.org/resource/Government_of_Pakistan
Pakistani	http://dbpedia.org/resource/Pakistani_people
Palace	http://dbpedia.org/resource/Crystal_Palace_F.C.
Palestine	http://dbpedia.org/resource/Palestine
Palestinian	http://dbpedia.org/resource/Palestinian_people
PalmersGreen	http://dbpedia.org/resource/Palmers_Green
Panda	NIL201
Panda	http://dbpedia.org/resource/Pablo_Sandoval
Panjang	http://dbpedia.org/resource/Lang_Island
Papua	http://dbpedia.org/resource/West_Papua_(region)
Papua New Guinea	http://dbpedia.org/resource/Papua_New_Guinea
Paradise Point	NIL21
Paris	http://dbpedia.org/resource/Paris
ParisHilton	http://dbpedia.org/resource/Paris_Hilton
ParisHouseChef	NIL217
Pascal Lolgis	NIL626
Patricia Acioli	NIL202
Patriots	http://dbpedia.org/resource/New_England_Patriots
Pattinson	http://dbpedia.org/resource/Robert_Pattinson
Paul	http://dbpedia.org/resource/Paul_Stephenson_(police_officer)
Paul McCartney	http://dbpedia.org/resource/Paul_McCartney
Paul Mitchell	NIL218
Paul Stephenson	http://dbpedia.org/resource/Paul_Stephenson_(police_officer)
Paul_RMHN	NIL219
Paulick	NIL203
PayPal	http://dbpedia.org/resource/PayPal
Peabody Energy	http://dbpedia.org/resource/Peabody_Energy
Peace Pilgrim	http://dbpedia.org/resource/Peace_Pilgrim
Peckham	http://dbpedia.org/resource/Peckham
Peeta Mellark	http://dbpedia.org/resource/Peeta_Mellark
Peggy Mangan	NIL631
Pelosi	http://dbpedia.org/resource/Nancy_Pelosi
PennockJosh	NIL632
Pentagon	http://dbpedia.org/resource/The_Pentagon
Pentagon	http://dbpedia.org/resource/United_States_Department_of_Defense
Pep Guardiola	http://dbpedia.org/resource/Pep_Guardiola
PeppersGhostMK	NIL979
PercysDelivered	NIL634
PerfectPintUK	NIL295
Peshawar	http://dbpedia.org/resource/Peshawar
Pete Gentil	NIL635
PeteWilliamsNBC	NIL637
Peter Dinklage	http://dbpedia.org/resource/Peter_Dinklage
Peter Dragunas	NIL204
Peter Gregson	http://dbpedia.org/resource/Peter_Gregson
Peter Schmeichel	http://dbpedia.org/resource/Peter_Schmeichel
PeterDavid_PAD	http://dbpedia.org/resource/Peter_David
Peterborough	http://dbpedia.org/resource/Peterborough
Peterhypnotic	NIL205
Petr Cech	http://dbpedia.org/resource/Petr_Čech
Petronas	http://dbpedia.org/resource/Petronas
PewHispanic	NIL980
Phil	NIL221
Phil Hughes	http://dbpedia.org/resource/Phillip_Hughes
PhilHughes	http://dbpedia.org/resource/Phillip_Hughes
Philadelphia	http://dbpedia.org/resource/Philadelphia
Philadelphia	http://dbpedia.org/resource/Philadelphia_Eagles
Philadelphia International Airport	http://dbpedia.org/resource/Philadelphia_International_Airport
Philadelphia clock tower	http://dbpedia.org/resource/Philadelphia_City_Hall
Philip Hughes	http://dbpedia.org/resource/Phillip_Hughes
Philip Morris	http://dbpedia.org/resource/Philip_Morris_International
Philippine Airlines	http://dbpedia.org/resource/Philippine_Airlines
Philippine Dragon Boat	http://dbpedia.org/resource/Philippine_Dragon_Boat_Federation
Philippines	http://dbpedia.org/resource/Philippines
Philippines	http://dbpedia.org/resource/Philippines_national_football_team
PhillTurnerDIY	NIL206
Phillip Hughes	http://dbpedia.org/resource/Phillip_Hughes
Philly	http://dbpedia.org/resource/Philadelphia
Phineas	http://dbpedia.org/resource/Phineas_Flynn
Phoenix	http://dbpedia.org/resource/Phoenix_Park
Phreshident	NIL207
Physicists	http://dbpedia.org/resource/Physicist
Pias	http://dbpedia.org/resource/PIAS_Entertainment_Group
Piccadilly	http://dbpedia.org/resource/Piccadilly
PiersMorgan	http://dbpedia.org/resource/Piers_Morgan
Pink Punters	NIL97
PinkPunters	NIL54
Pinoy	http://dbpedia.org/resource/Pinoy
Pirates	http://dbpedia.org/resource/Pittsburgh_Pirates
Pirelli	http://dbpedia.org/resource/Pirelli
Pisces	http://dbpedia.org/resource/Pisces_(astrology)
PiscesAreUs	NIL305
Pixie	NIL608
Plan B	NIL22
Planet Ice	http://dbpedia.org/resource/Planet_Ice_Milton_Keynes
Planet Ice Milton Keynes	http://dbpedia.org/resource/Planet_Ice_Milton_Keynes
Planet of the Apes	http://dbpedia.org/resource/Planet_of_the_Apes
Plato	http://dbpedia.org/resource/Plato
Plaxico	http://dbpedia.org/resource/Plaxico_Burress
Plaxico Burress	http://dbpedia.org/resource/Plaxico_Burress
Players	http://dbpedia.org/resource/Player_(game)
Plouffe	http://dbpedia.org/resource/Trevor_Plouffe
Pluto	http://dbpedia.org/resource/Pluto
Poch	NIL223
Pocono	http://dbpedia.org/resource/Pocono_Raceway
Podcast_Addict	NIL981
PointlessBlog	http://dbpedia.org/resource/Alfie_Deyes
Poland	http://dbpedia.org/resource/Poland
Poland	http://dbpedia.org/resource/Poland_national_football_team
Polanski	http://dbpedia.org/resource/Roman_Polanski
Poldi	http://dbpedia.org/resource/Lukas_Podolski
Police	NIL39
Police	http://dbpedia.org/resource/Law_enforcement_in_the_United_Kingdom
Police	http://dbpedia.org/resource/Leeds_City_Police
Police	http://dbpedia.org/resource/Police
PoliceServiceNI	http://dbpedia.org/resource/Police_Service_of_Northern_Ireland
PondersEnd	http://dbpedia.org/resource/Ponders_End
Pontiac	http://dbpedia.org/resource/Pontiac,_Michigan
Ponzi	http://dbpedia.org/resource/Ponzi_scheme
Pootie Tang	http://dbpedia.org/resource/Pootie_Tang
PorscheRaces	NIL983
Porter	http://dbpedia.org/resource/Porter_(beer)
Portsmouth	http://dbpedia.org/resource/Portsmouth
Portugal	http://dbpedia.org/resource/Portugal
Power Swimmer	http://dbpedia.org/resource/Personal_flotation_device
Powerbenz500	NIL985
Premier League	http://dbpedia.org/resource/Premier_League
Premier League	http://dbpedia.org/resource/Premier_League_Darts
Premier league	http://dbpedia.org/resource/Premier_League
PremierLeague	http://dbpedia.org/resource/Premier_League
PresidentMSW	NIL644
Pretty_Since	NIL210
Prezzo	http://dbpedia.org/resource/Prezzo
PrimarySklProbs	NIL49
Princeton	http://dbpedia.org/resource/Princeton_University
PrisonPlanet	http://dbpedia.org/resource/Alex_Jones_(radio_host)
Pro Bowl	http://dbpedia.org/resource/Pro_Bowl
Pro plus	http://dbpedia.org/resource/Pro_Plus_(company)
ProPerformance_	NIL986
Protect_Wldlife	NIL50
Protestants	NIL322
Proverbs	http://dbpedia.org/resource/Book_of_Proverbs
Providence	http://dbpedia.org/resource/Providence_Bruins
Psalm	http://dbpedia.org/resource/Psalms
Psalms	http://dbpedia.org/resource/Psalms
Psychosocial	NIL987
Puerto Rico	http://dbpedia.org/resource/Puerto_Rico
Pujols	http://dbpedia.org/resource/Albert_Pujols
Punjab	http://dbpedia.org/resource/Punjab_region
PureMuscleCars	NIL988
Pusha T	http://dbpedia.org/resource/Pusha_T
Putin	http://dbpedia.org/resource/Vladimir_Putin
Putripcp	NIL211
Pwookey	NIL646
Pyramids of Mars	http://dbpedia.org/resource/Pyramids_of_Mars
QB	http://dbpedia.org/resource/Quarterback
QB Kevin Kolb	http://dbpedia.org/resource/Kevin_Kolb
QLD	http://dbpedia.org/resource/Queensland
QOF	http://dbpedia.org/resource/Quality_and_Outcomes_Framework
QPR	http://dbpedia.org/resource/Queens_Park_Rangers_F.C.
Qalqilya	http://dbpedia.org/resource/Qalqilya
Qandil	http://dbpedia.org/resource/Qandil_Mountains
Qatar	http://dbpedia.org/resource/Qatar
Qatar airways	http://dbpedia.org/resource/Qatar_Airways
Quadrant:MK	http://dbpedia.org/resource/Quadrant:MK
Queen	http://dbpedia.org/resource/Elizabeth_II
QueenofSuburbia	NIL648
Queens	http://dbpedia.org/resource/Queens
QuickTime	http://dbpedia.org/resource/QuickTime
Quincy	http://dbpedia.org/resource/Quincy,_Massachusetts
R Broyles	http://dbpedia.org/resource/Ryan_Broyles
R&B	http://dbpedia.org/resource/Rhythm_and_blues
R&L2015	NIL13
RAFC	http://dbpedia.org/resource/Royal_Antwerp_F.C.
RB Reggie Bush	http://dbpedia.org/resource/Reggie_Bush
RB Willis McGahee	http://dbpedia.org/resource/Willis_McGahee
RBS	http://dbpedia.org/resource/The_Royal_Bank_of_Scotland
RCdeWinter	NIL654
RDR	http://dbpedia.org/resource/Financial_Services_Authority
RED_Summers	NIL658
REUTERS	http://dbpedia.org/resource/Reuters
RIM	http://dbpedia.org/resource/BlackBerry_Limited
RNLI	http://dbpedia.org/resource/Royal_National_Lifeboat_Institution
ROXANNAHALBRYT	NIL232
RSA	http://dbpedia.org/resource/RSA_Security
RT	http://dbpedia.org/resource/RT_(TV_network)
RT_com	http://dbpedia.org/resource/RT_(TV_network)
RUSSIA	http://dbpedia.org/resource/Russia
